iter	Passed	Remaining
0	146	146528
1	148	73882
2	149	49634
3	150	37384
4	150	29976
5	151	25028
6	151	21498
7	152	18868
8	152	16823
9	153	15197
10	154	13853
11	154	12749
12	155	11799
13	156	10987
14	156	10284
15	157	9668
16	157	9117
17	158	8628
18	158	8205
19	159	7813
20	160	7468
21	160	7150
22	161	6853
23	161	6583
24	162	6334
25	162	6102
26	163	5887
27	164	5695
28	165	5530
29	165	5361
30	166	5200
31	166	5048
32	167	4910
33	168	4779
34	168	4654
35	169	4537
36	170	4425
37	170	4317
38	171	4217
39	171	4121
40	172	4030
41	172	3944
42	173	3860
43	174	3782
44	174	3707
45	175	3634
46	175	3565
47	176	3501
48	177	3438
49	177	3377
50	178	3319
51	178	3262
52	179	3208
53	180	3154
54	180	3104
55	181	3054
56	181	3008
57	182	2964
58	183	2919
59	183	2877
60	184	2835
61	184	2795
62	185	2757
63	185	2719
64	186	2681
65	186	2644
66	187	2610
67	187	2572
68	188	2539
69	188	2507
70	189	2476
71	190	2449
72	190	2421
73	191	2393
74	191	2366
75	192	2339
76	192	2313
77	193	2288
78	194	2265
79	194	2241
80	195	2218
81	196	2200
82	197	2178
83	197	2156
84	198	2132
85	198	2113
86	199	2091
87	200	2072
88	200	2054
89	201	2036
90	202	2019
91	202	2001
92	203	1984
93	204	1967
94	204	1951
95	205	1935
96	206	1919
97	206	1903
98	207	1888
99	208	1872
100	208	1857
101	209	1840
102	209	1826
103	210	1811
104	210	1797
105	211	1783
106	212	1769
107	212	1757
108	213	1744
109	213	1731
110	214	1719
111	215	1706
112	215	1694
113	216	1682
114	217	1670
115	217	1658
116	218	1646
117	218	1635
118	219	1624
119	219	1613
120	220	1602
121	221	1591
122	221	1578
123	222	1568
124	222	1559
125	223	1548
126	223	1539
127	224	1528
128	225	1519
129	225	1510
130	226	1501
131	226	1492
132	227	1483
133	228	1474
134	228	1466
135	229	1457
136	230	1449
137	230	1440
138	231	1432
139	231	1424
140	232	1416
141	233	1409
142	233	1401
143	234	1393
144	235	1386
145	235	1378
146	236	1371
147	236	1363
148	237	1357
149	238	1349
150	238	1343
151	239	1336
152	240	1329
153	240	1322
154	241	1316
155	242	1309
156	242	1303
157	243	1297
158	244	1291
159	244	1285
160	245	1280
161	246	1274
162	247	1270
163	248	1265
164	248	1260
165	249	1254
166	250	1248
167	251	1243
168	251	1238
169	252	1233
170	253	1228
171	254	1222
172	254	1217
173	255	1212
174	256	1207
175	256	1202
176	257	1197
177	258	1193
178	259	1188
179	259	1183
180	260	1176
181	260	1172
182	261	1167
183	262	1162
184	262	1158
185	263	1153
186	264	1148
187	264	1144
188	265	1139
189	266	1135
190	266	1130
191	267	1126
192	268	1121
193	268	1117
194	269	1112
195	270	1108
196	270	1104
197	271	1099
198	272	1095
199	272	1091
200	273	1087
201	274	1083
202	274	1078
203	275	1075
204	276	1072
205	277	1068
206	278	1065
207	278	1061
208	279	1057
